kata1,kata2,relasi
toleransi,tenggang rasa,sinonim
menginjak,irik,sinonim
arogan,snobis,sinonim
internal,eksternal,antonim
menyasar,bidik,sinonim
prajurit,perwira,antonim
merdu,sumbang,antonim
berguling,melereng,sinonim
kacang,botor,sinonim
lawan,bermitra,antonim
bercanda,bercengkerama,sinonim
bergabung,berbaur,sinonim
kualitas,kuantitas,antonim
kenyataan,fantasi,antonim
ilegal,absah,antonim
benar,salah ambilan,antonim
hulu,hilir,antonim
mengerem,hambat,sinonim
membesarkan,mengecilkan,antonim
dinamis,stagnan,antonim
bersekongkol,bercikun-cikun,sinonim
keguncangan,kegoyangan,sinonim
singkat,tele,antonim
rakyat,priayi,antonim
rudin,kaya raya,antonim
menurun,menaik,antonim
salah,benar,antonim
cacat,wiring,sinonim
definitif,taktentu,antonim
lunak,padat,antonim
pandai,pandir,antonim
mendengarkan,menyimak,sinonim
tidur,jaga,antonim
membebaskan,menegah,antonim
dasar,pribadi,sinonim
memfitnah,menggunjing,sinonim
produsen,pemakai,antonim
mikrokosmos,makrokosmos,antonim
kecubung,batu mulia,sinonim
kesamaan,munasabah,sinonim
tidur,bangkit,antonim
keceriaan,kemuraman,antonim
lazim,ganjil,antonim
berjalan,berhenti,antonim
kreditor,pengutang,antonim
pesek,dempak,sinonim
hak,keistimewaan,sinonim
tertib,berantakan,antonim
menarik,ulur,antonim
lapang,sumpek,antonim
perdamaian,permusuhan,antonim
jarang,acap,antonim
gaji,belanja,sinonim
ujian,cobaan,sinonim
bertanding,menyaingi,sinonim
kelalaian,kecermatan,antonim
negeri,partikelir,antonim
keterkejutan,kekagetan,sinonim
runtuh,kukuh,antonim
tuan,pramuwisma,antonim
berselaput,bersalut,sinonim
mendekam,berpingit,sinonim
menghilangkan,de-,sinonim
dengkul,bongak,sinonim
nasionalisme,provinsialisme,antonim
masak,mentah,antonim
pelit,dermawan,antonim
ramalan,palmistri,sinonim
menuruti,junjung,sinonim
berhamburan,beterbangan,sinonim
mujur,apes,antonim
akibat,sambungan,sinonim
aneh,lazim,antonim
menambahkan,mengurangkan,antonim
sit,desit,sinonim
membuang,memungut,antonim
uni,uda,antonim
bagai,lir,sinonim
lebih,kurang,antonim
membasahi,mengeringkan,antonim
modern,tradisional,antonim
ancam,menggerantang,sinonim
kesukaan,keriangan,sinonim
congek,budeg,sinonim
pengatur,perusak,antonim
berjerawat,jerawatan,sinonim
bukan,ya,antonim
terhindar,terkelik,sinonim
gerbang,portal,sinonim
penerimaan,perlakuan,sinonim
eksplisit,implisit,antonim
kejayaan,keruntuhan,antonim
kestabilan,kelabilan,antonim
aling,mengalingi,sinonim
tersembunyi,siluman,sinonim
sempurna,cacat,antonim
kepincangan,melemah,antonim
berantakan,tertata,antonim
gagap,tertahan-tahan,antonim
pemimpin,bawahan,antonim
menyingkapkan,mendedahkan,sinonim
bayar,cuma-cuma,antonim
berakibat,membawa bekas,sinonim
berlipat-lipat,bertumpuk,sinonim
memanas,meruncing,sinonim
superskrip,subskrip,antonim
menolak,bersetuju,antonim
kaku,plastis,antonim
mengabadikan,memusnahkan,antonim
terusan,gorong-gorong,sinonim
bekas,romong,sinonim
baik,sembuh,sinonim
berpola,tertata,sinonim
menegakkan,mencacakkan,sinonim
nyinyir,calak,sinonim
berumur,belia,antonim
pijar,pijar-pijar,sinonim
mulai,akhir,antonim
mencegah,menyangkak,sinonim
liat,rapuh,antonim
bibi,bik,sinonim
kuteks,cat kuku,sinonim
ketuhanan,rabani,sinonim
berjalan,terbang,sinonim
sinar,nur,sinonim
resin,damar,sinonim
semangat,asa,sinonim
bersama,serentak,sinonim
reputasi,nama baik,sinonim
keheningan,keriuhan,antonim
menyusupkan,belam,sinonim
berwatak,berperangai,sinonim
sunyi,hiruk,antonim
wajib,sunah,antonim
kompensasi,ganjar,sinonim
reportase,pewartaan,sinonim
menyusahkan,gaduh,sinonim
terlepas,menempel,antonim
keserakahan,kelobaan,sinonim
merendam,celup,sinonim
lamban,bangat,antonim
membeku,mencair,antonim
akhir,final,sinonim
metaforis,denotatif,antonim
adik,bang,antonim
dewasa,kanak-kanak,antonim
pijak,pijak-pijak,sinonim
pandai,dungu,antonim
melancarkan,memacetkan,antonim
merontokkan,meluruhkan,sinonim
merugikan,untung,antonim
pemotong,penyembelih,sinonim
modis,ketinggalan zaman,antonim
kebodohan,kepintaran,antonim
kudapan,makanan kecil,sinonim
pendederan,pengembangbiakan,sinonim
elang,elang malam,sinonim
seutuhnya,semenggah-menggah,sinonim
bercirikan,bersifatkan,sinonim
jawi,dupa,sinonim
paduan,bancuhan,sinonim
belek,bedel,sinonim
pelayan,majikan,antonim
luang,senggang,sinonim
menghabisi,bantai,sinonim
prolog,pemungkas,antonim
menetap,berhijrah,antonim
menjatuhkan,basmi,sinonim
melejit,lejit,sinonim
utuh,rumpang,antonim
ceroboh,telaten,antonim
bergaduh,kegemparan,sinonim
melandai,mencuram,antonim
suvenir,tanda mata,sinonim
daya,tenaga,sinonim
senang,sengsara,antonim
penurut,degil,antonim
ketenangan,kebisingan,antonim
sokongan,derma,sinonim
objektivitas,subjektivitas,antonim
tajam,menyembilu,sinonim
sekarang,purba,antonim
cucuran,kucur,sinonim
lancar,terhambat,antonim
gairah,antusiasme,sinonim
penggugat,tergugat,antonim
burung,ceceh,sinonim
menularkan,menjalarkan,sinonim
melepas,pegang,antonim
ampuh,mangkus,sinonim
gemuruh,deru,sinonim
perbedaan,persamaan,antonim
tergantung,lepas,antonim
kejelekan,borok,sinonim
mengganti,menyilih,sinonim
sedapat-dapatnya,sedapat mungkin,sinonim
setia,menyeleweng,antonim
keyakinan,keraguan,antonim
amin,mengabulkan,sinonim
kampung,kolot,sinonim
bercorak,berpola,sinonim
menjaga,mempertahankan,sinonim
putra,putri,antonim
bina,menasihati,sinonim
sosial,pelit,antonim
daerah,resor,sinonim
rekayasa,implementasi,sinonim
bertaburan,berjebai,sinonim
saban,saben,sinonim
mengusir,mengenyahkan,sinonim
objektif,subjektif,antonim
kaku,luwes,antonim
berencana,bermaksud,sinonim
memperbanyak,memperbanyakkan,sinonim
melewati,arung,sinonim
lamban,trengginas,antonim
terpaut,bertikai,sinonim
buletin,berita kilat,sinonim
bermanfaat,percuma,antonim
waspada,was-was,sinonim
perbedaan,variasi,sinonim
membiarkan,menanggapi,antonim
takut,berani,antonim
teman,sobat,sinonim
penggabungan,sintesis,sinonim
serius,main-main,antonim
terpelihara,terhantar,antonim
benar,imbang,sinonim
menghantam,catuk,sinonim
paleolitikum,zaman batu tua,sinonim
tertusuk,tercucuk,sinonim
melek,pejam,antonim
tipis,tebal,antonim
ketunggalan,keanekaan,antonim
heterogen,keberagaman,antonim
menilai,membiji,sinonim
bersahabat,berkawan,sinonim
telentang,tengkurap,antonim
luka,cacat,sinonim
menangisi,menertawai,antonim
berbelit-belit,berjalinan,sinonim
dana,devisa,sinonim
start,finis,antonim
biasa,hebat,antonim
pengganggu,pengusik,sinonim
kontroversi,selaras,antonim
bebas,dependen,antonim
bodoh,mumpuni,antonim
gembar-gembor,memekik-mekik,sinonim
berkelahi,baku hantam,sinonim
dialog,monolog,antonim
berkas,cercah,sinonim
rencana,cadangan,sinonim
hitam,bolong,sinonim
sepi,marak,antonim
asli,bohong-bohongan,antonim
kebaikan,kejahatan,antonim
lipan,halipan,sinonim
keuntungan,maslahat,sinonim
percaya,curiga,antonim
berpawai,berdefile,sinonim
merapikan,mengacak-acak,antonim
seragam,pusparagam,antonim
terhambat,terabar,sinonim
bersemuka,berpunggungan,antonim
cawan,pencedok,sinonim
mulia,hina,antonim
merendahkan,memunggungi,sinonim
tegang,kendur,antonim
basis,panduan,sinonim
tinju,jotos,sinonim
rabaan,gerayangan,sinonim
jalinan,tautan,sinonim
mencangkup,cangkup,sinonim
kelalaian,kewaspadaan,antonim
kini,silam,antonim
media,sarana,sinonim
belasungkawa,duka cita,sinonim
berbincang-bincang,beromong-omong,sinonim
disiplin,indisiplin,antonim
terkatup,mengap,antonim
pengeringan,pengairan,antonim
musuh,rekan,antonim
salah,betul,antonim
bermusuhan,berkawan,antonim
meninggalkan,mendatangi,antonim
beradab,biadab,antonim
sehingga,singga,sinonim
timbel,timah hitam,sinonim
terang,kelam,antonim
berserakan,porakparik,sinonim
strip,setrip,sinonim
menungging,menjengking,sinonim
buas,angkara,sinonim
pot,pispot,sinonim
termasuk,terikut,sinonim
menangkup,merahap,sinonim
pembangunan,destruksi,antonim
terbuka,bertaut,antonim
kudung,abtar,sinonim
kait,penggait,sinonim
berdampingan,berjauhan,antonim
renggang,damping,antonim
demam,palak,sinonim
untung,langkah kanan,sinonim
kesederhanaan,kecanggihan,antonim
diam,cakap,antonim
menjadi-jadi,bernyala-nyala,sinonim
busung,belendung,sinonim
keaktifan,kepasifan,antonim
menolak,hela,antonim
serpih,cempek,sinonim
mengasihani,merahimi,sinonim
ruai,dengkik,sinonim
atas,bawah,antonim
agen,wakil,sinonim
testimoni,afirmasi,sinonim
membuat,me-,sinonim
teladan,patron,sinonim
ringkasan,saduran,sinonim
belakang,muka,antonim
serbuan,penahan,antonim
aset,emas perak,sinonim
pergi,pulang,antonim
demokratis,absolut,antonim
perawan,perjaka,antonim
membangkitkan,menidurkan,antonim
perdamaian,pertikaian,antonim
bersenandung,merengeng-rengeng,sinonim
congkak,rendah hati,antonim
gong,canang besar,sinonim
produktif,kontraproduktif,antonim
minyak,samin,sinonim
biadab,lucah,sinonim
pelit,pemboros,antonim
abai,teledor,sinonim
nyata,jali,sinonim
pengurangan,penambah,antonim
rendah,candala,sinonim
peranakan,totok,antonim
lamban,sigap,antonim
tinggi,rendah,antonim
memuliakan,mendaifkan,antonim
dunia,benua,sinonim
hidup,meninggal,antonim
tunduk,membangkang,antonim
condong,gendeng,sinonim
memanifestasikan,ejawantah,sinonim
penambahan,akumulasi,sinonim
penyabar,perampang,antonim
menyentil,beri tahu,sinonim
kemewahan,kepapaan,antonim
saban,saban-saban,sinonim
melepas,mengikat,antonim
lurus,belok,antonim
tumor,ketumbuhan,sinonim
lanjut,tunda,antonim
tambun,tumpuk,sinonim
kuar,kuak,sinonim
kaitan,tautan,sinonim
bor,gurdi,sinonim
pekat,encer,antonim
jungkat-jungkit,unggat-unggit,sinonim
debitur,kreditor,antonim
baru,usang,antonim
antusias,spirit,antonim
berjalan,mandek,antonim
menimbulkan,minta,sinonim
pembebasan,penawanan,antonim
agama,ketuhanan,sinonim
melarat,sugih,antonim
kegembiraan,kedukaan,antonim
centang,bersatu padu,antonim
melipat,membalun,sinonim
membersihkan,kotor,antonim
kemajuan,kemunduran,antonim
normal,cenangga,antonim
melepaskan,cekal,antonim
kubik,mengubik,sinonim
turunan,pertinggal,sinonim
melepaskan,mengambang,antonim
patut,setimpal,sinonim
kaul,rabuk,sinonim
sedih,ceria,antonim
sewenang-wenang,biadab,sinonim
panjang,ringkas,antonim
halus,gemulai,sinonim
beragama,ateis,antonim
bugar,lesu,antonim
fonem,abc,sinonim
bersatu,bubar,antonim
teduh,rusuh,antonim
keutuhan,kerumpangan,antonim
diam,racau,antonim
binal,keras kepala,sinonim
canggih,celomes,sinonim
berselingkuh,bermuda,sinonim
pemutusan,penyambungan,antonim
menghabiskan,menyisakan,antonim
bermain-main,bersungguh-sungguh,antonim
menghunus,hunjam,antonim
memilah,memisah,sinonim
keakraban,kerenggangan,antonim
teringat,terlupa,antonim
palsu,sejati,antonim
membebaskan,mengurung,antonim
membiarkan,memedulikan,antonim
perpisahan,perjumpaan,antonim
tayub,tayuban,sinonim
nikmat,lezat,sinonim
desentralisasi,sentralisasi,antonim
tenang,rusuh,antonim
mengumandangkan,menggembar-gemborkan,sinonim
kota,dusun,antonim
licin,timpas,sinonim
menyebut,mengecap,sinonim
meluruskan,membengkokkan,antonim
membantah,bangkang,sinonim
gede,gedang,sinonim
mayang,sunbulat,sinonim
berdagang,berkedai,sinonim
kedinginan,kepanasan,antonim
gemilang,berkilau,sinonim
muncul,lenyap,antonim
induk,sari,sinonim
keterampilan,kecekatan,sinonim
degradasi,gradasi,antonim
liburan,preinan,sinonim
ada,tuntas,antonim
luas,sempit,antonim
awal,akhir,antonim
sungkan,mau tak mau,antonim
berlangsung,usai,antonim
hijau,lugu,sinonim
mudah,sulit,antonim
bunda,ayahanda,antonim
aktif,pasif,antonim
hipotesis,presumsi,sinonim
pakde,paklik,antonim
kedunguan,kecendekiaan,antonim
gila,safih,sinonim
basah,demek,sinonim
pedagang,pembeli,antonim
waspada,lalai,antonim
otentik,imitasi,antonim
plus,minus,antonim
kecolongan,kecurian,sinonim
alinea,perenggan,sinonim
hemat,boros,antonim
aplikasi,permintaan,sinonim
beralasan,berargumentasi,sinonim
memperindah,membungai,sinonim
reda,sirep,sinonim
kehadiran,absensi,antonim
mulus,bopeng,antonim
hukum,syairat,sinonim
sistematis,acak-acakan,antonim
bercerai-berai,bertemperasan,sinonim
berlebih,longgar,antonim
maju,pailit,antonim
kenamaan,masyhur,sinonim
mengumpan,mengumpankan,sinonim
harmoni,disonansi,antonim
aku,kamu,antonim
hak,kewajiban,antonim
hancur,permai,antonim
pembebasan,pengungkungan,antonim
mayor,minor,antonim
hadir,absen,antonim
perkauman,persukuan,sinonim
inflasi,deflasi,antonim
terpendam,tercurahkan,antonim
memukul,embat,sinonim
irasional,mantiki,antonim
pembebasan,pembelengguan,antonim
kekurangan,melemah,antonim
untuk,sudah,sinonim
memudahkan,menyulitkan,antonim
napal,ampo,sinonim
pengasahan,penumpulan,antonim
spontanitas,keserentakan,sinonim
memisahkan,menggabungkan,antonim
centil,kenes,sinonim
bercahaya,suram,antonim
pendiam,cerewet,antonim
cabut,membantun,sinonim
ulang,alik,sinonim
nyata,tedas,sinonim
kuda,sembrani,sinonim
tepat,telat,antonim
biasa,parah,antonim
selubung,tudung lingkup,sinonim
muda,matang,antonim
bercerai-berai,bercampuran,antonim
mendekati,singkir,antonim
melepaskan,melekatkan,antonim
bersedih,bergembira,antonim
kecongkakan,ketinggian hati,sinonim
sesuatu,barang,sinonim
mematikan,menghidupkan,antonim
jamak,mufrad,antonim
gembar-gembor,mendengungkan,sinonim
terbuka,privat,antonim
amuk,haru biru,sinonim
mengeluarkan,memasukkan,antonim
menciut,muai,antonim
utama,penunjang,antonim
jujur,culas,antonim
tidur,celik,antonim
membubarkan,menghapuskan,sinonim
membiasakan,mengistiadatkan,sinonim
sebaiknya,selayaknya,sinonim
kemudahan,kesukaran,antonim
menyambung,memutus,antonim
sakit,sehat,antonim
perbandingan,perumpamaan,sinonim
subur,mandul,antonim
mengusung,mengarak,sinonim
klien,pengacara,antonim
dompet,kisa,sinonim
hemoroid,ambeien,sinonim
berseri,muram,antonim
bertaut,mencantel,sinonim
terpisah,tercampur,antonim
alim,usil,antonim
cepat,lambat,antonim
pemecahan,separasi,sinonim
inferior,kelas dua,sinonim
peduli,tak acuh,antonim
memuji,menghujat,antonim
potensi,peloh,antonim
jujur,cengli,sinonim
ugal-ugalan,songong,sinonim
pakcik,makcik,antonim
siswa,guru,antonim
bawahan,kaki tangan,sinonim
satuan,barisan,sinonim
derek,kerek,sinonim
hadis,sunah,sinonim
mencurigai,memercayai,antonim
berpisah,berjumpa,antonim
abnormal,cenangga,sinonim
buangan,usiran,sinonim
pacar,biji mata,sinonim
pemahat,serimala,sinonim
celah,gap,sinonim
rombeng,cabik-cabik,sinonim
bergerak,bergiat,sinonim
lembaga,adat,sinonim
telungkup,menelentang,antonim
menyimpulkan,merumuskan,sinonim
ceriwis,banyak cakap,sinonim
mengencangkan,melambatkan,antonim
erot,bengot,sinonim
prospek,kans,sinonim
mengabaikan,mengacuhkan,antonim
tiba-tiba,seketika,sinonim
embrio,fetus,sinonim
deretan,rentetan,sinonim
rintik-rintik,rinai,sinonim
takut,perkasa,antonim
bertemu,berpisah,antonim
jalan,jembatan,sinonim
pengorganisasian,mobilisasi,sinonim
efisien,inefisien,antonim
misbah,cublik,sinonim
melepaskan,membelenggu,antonim
menyelesaikan,memulai,antonim
boros,irit membuang-buang,antonim
berasas,masuk akal,sinonim
subur,tandus,antonim
mempercepat,memperlambat,antonim
kedudukan,takhta,sinonim
menanami,menggunduli,antonim
abdi,dayang,sinonim
karya,pensiun,antonim
sembelih,debah,sinonim
menyatakan,menghamparkan,sinonim
bungkal,buah dacin,sinonim
bercak,telau,sinonim
pucat,berseri,antonim
gagap,terkosel-kosel,antonim
cabul,amoral,sinonim
bertenaga,loyo,antonim
terpelihara,telantar,antonim
berada,miskin,antonim
pasir,bijih,sinonim
serasah,cegar,sinonim
lihat,penggabungan,sinonim
mengeringkan,mengairi,antonim
cumi-cumi,comek,sinonim
kuat,lemah,antonim
membangkitkan,puruk,antonim
